OBJECTID,CLASS,BUILDING_U,NO_OF_STOR,NO_OF_LIFT,NO_OF_BASE,BLD_ENERGY,EQUITABLE_,AREA_SQM,ASSET_POSI,FUNCTIONAL,GIS_DESCRI,CREATED_DA,LAST_EDITE,SHAPE_Leng,SHAPE_Area
1289,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,80,GPS,K-WYBERB,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,41.12646095,80.99889569
1291,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,35,,K-OCONNE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,31.07208741,57.40294454
1294,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,14,,K-RUNA01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,21.72073559,23.46931619
1301,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,20,GPS,K-THEVIL,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,22.48263772,23.99298148
1302,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,150,GPS,F-TPBROA,AMENITIES BLOCK,23/05/2014,5/02/2015,52.03867679,167.768575
1334,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,30,GPS,K-MACINT,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,37.5896605,88.28128227
1338,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,23,,K-CAREYP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,32.52559341,48.21455354
1340,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,27,GPS,F-CPKARL,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,17/05/2015,27.0690755,38.35166958
1344,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,32,GPS,F-CMSGEN,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,12/05/2015,23.84454692,35.51041086
1346,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,40,GPS,K-WALLAC,Building,20/10/2014,21/01/2015,25.75413464,40.0660017
