X, Y, NO_OF_BIKE
-27.991486766379783,153.33563479626574,1
-27.991372459980866,153.33546982932017,1
-27.975475757831703,153.42925418694216,2
-27.97646525684949,153.42935477869216,2
-27.97806143012365,153.42942851177924,2
-28.111341927066306,153.45444458793085,10
-28.112089638448186,153.45692319723702,10
-28.089214546391894,153.45346596225414,5
-28.089575857637886,153.45411141768463,5
-28.175679361967212,153.4312757998696,12
-27.982472623044078,153.3836306509218,10
-27.890872760157997,153.30936305591237,11
-27.940723591628092,153.33596291129922,0
-27.940713946818867,153.33595701424946,0
-27.940710630470196,153.33594728121196,0
-27.942406312056733,153.3315244869952,0
-27.755622005327435,153.19831970820164,0
-27.755628617286064,153.1983044914169,0
-27.95755860163857,153.35381128954828,0
-27.9575599208048,153.35382487428728,0
-27.95718644127215,153.3539317151046,0
-27.957191557662533,153.35394304912364,0
-27.951840006925664,153.35412611183662,0
-27.95136711124885,153.353867304648,0
-27.951367332932914,153.3538864173384,0
-27.95075910567729,153.35381511017658,0
-27.95077278090026,153.35379797034003,0
-27.945794909345153,153.35343992023112,0
-27.94579281049512,153.35344871461788,0
-28.003261046498192,153.3494204239165,0
-28.003270657240435,153.34940393244042,0
-28.003199036804258,153.3493501114241,0
-28.067450027367315,153.42572702453714,0
-28.0674636700935,153.42574940009732,0
-28.067458010955512,153.42574039880282,0
-28.067454249479994,153.42573367034382,0
-28.16594537725305,153.53533747518665,0
-28.165957329887192,153.53535105762123,0
-28.00028254879393,153.4169866755128,0
-28.00027498946681,153.4169789300661,0
-27.87553377259065,153.39577958861813,0
-27.875510497452915,153.39580882238334,0
-28.099150137757437,153.40788752368027,0
-28.099120750915553,153.40787666778567,0
-28.099116280070362,153.40777122077205,0
-28.09914245290578,153.40777006046952,0
-28.09911245125468,153.4076623354219,0
-28.098918647187755,153.4048986890486,0
-28.098902699092168,153.40489166214707,0
-28.003714861428502,153.4159775514853,0
-28.074682915874824,153.42331089277866,0
-28.074670671574,153.42330035383296,0
-28.124442298100437,153.44036297698966,0
-27.893640116214403,153.39140431019644,0
-28.099707699787142,153.46248665152763,0
-28.099914434220214,153.46252203736177,0
-28.10008433073584,153.46258916391324,0
-27.917084474003442,153.28426778372173,0
-27.917099919841267,153.28426338298246,0
-27.917117077581185,153.28426057820897,0
-28.128437066105384,153.47741922764465,0
-28.128445501052042,153.47743110423033,0
-27.922549256756746,153.38556556035618,0
-27.922555166071657,153.38554747960427,0
-27.902184117557585,153.33528358550657,0
-27.902200284671576,153.3352765132494,0
-28.048561131464236,153.40610352275897,0
-28.048572673839374,153.40613821719543,0
-28.048579949683056,153.4061168494878,0
-28.084574880732063,153.37554086377494,0
-27.98352059140116,153.42536071409907,0
-27.98353216446149,153.42535480561781,0
-27.983544047743134,153.42533615366008,0
-27.997275529450366,153.328016137173,0
-27.877710757053244,153.31394465580203,0
-27.877721265743237,153.3139641214354,0
-27.878525462715672,153.31419320791554,0
-27.878536817105196,153.31416241272535,0
-27.87890421587305,153.31433562231592,0
-27.995878922936576,153.3286649367527,0
-28.03004448639786,153.39089047142696,0
-28.03006779670472,153.39088334074498,0
-28.03088258778767,153.39639999677868,0
-28.13740321732782,153.47297486532327,0
-28.137393453510793,153.47274365197083,0
-28.13739710391374,153.4727321638497,0
-28.138158282489684,153.4732031396275,0
-28.138160930228572,153.47322061687046,0
-28.1379989729632,153.47365059255026,0
-28.137985772094222,153.4736594347981,0
-28.137192210898757,153.47451353274906,0
-27.877804911997536,153.31354023396267,0
-27.877791472525193,153.31353525286735,0
-27.879134918281544,153.31567185369008,0
-27.879135601204503,153.31564957245917,0
-27.87877178044242,153.31446793304158,0
-27.878770910477634,153.31449314560496,0
-27.877829459367078,153.3143324362432,0
-28.000863620068362,153.34932119323548,0
-28.083849516187374,153.3744186391436,0
-28.083838005142702,153.3744026527513,0
-28.08378020490981,153.37445222246598,0
-28.083796206220423,153.37447342761692,0
-28.084854513601112,153.37361245120752,0
-28.08483170135673,153.37360280448132,0
-28.08485305828013,153.3735501701992,0
-28.08487504678593,153.37356065378955,0
-28.092131274372946,153.44247379461262,0
-28.141259630969977,153.47776451656992,0
-28.14127600499485,153.47778029252544,0
-27.94600926731042,153.35347649392003,0
-28.021655208901223,153.42295038043875,0
-28.021658236268603,153.42296398068112,0
-28.168234545874046,153.53700388692306,1
-28.168641527520837,153.53970297743695,1
-28.154658881059643,153.5052938173906,1
-28.143394088356853,153.49462491681913,1
-28.08225983130127,153.43194899023163,1
-28.06576465738935,153.41740692331354,1
-28.066149901252853,153.40267765759046,1
-28.059069131075297,153.41840509120607,1
-28.050416582837943,153.41853570864075,1
-28.040107305120625,153.41481314150306,1
-27.98058606686245,153.42914638235618,1
-27.99816734309261,153.41990156394235,0
-27.99816485879733,153.4198873810047,0
-27.998064630253864,153.41919504361226,0
-27.997883014572473,153.41944014072513,0
-27.967588971884762,153.41278794461257,0
-27.96761202392784,153.41280714811032,0
-27.96754236305922,153.41258973951653,0
-27.967571150726474,153.41259278333365,0
-28.067205264523047,153.37979619173194,0
-28.067234941560788,153.37980418514198,0
-27.92031234882271,153.40452558367096,0
-28.08138379022602,153.4471272961386,0
-28.081370627610458,153.44712212203896,0
-28.080685758591688,153.44680237928114,0
-28.080693407868978,153.4467819327457,0
-27.999504586160896,153.43088289679093,2
-28.013464730019237,153.41081714020015,14
-27.999546999762476,153.4308844913915,2
-28.000460425651177,153.4309810465305,2
-28.003620423321895,153.43127809644338,2
-28.001768807912303,153.43115800873238,2
-28.00180977348848,153.43116077141184,2
-28.062362627991714,153.42985652317586,10
-28.06201759151128,153.4295981280108,10
-27.98943333053652,153.33388238055065,10
-27.98943373690425,153.33390091372078,7
-28.076699873133656,153.38173414924287,4
-27.92609261646902,153.4057754589885,0
-27.997252762221226,153.32802395120584,0
-27.91170544569386,153.39486800375704,10
-27.942432846288906,153.33152322722782,0
-28.084593111281073,153.37553908083356,0
-28.049503546444463,153.43624202551806,1
-28.114152032781323,153.46948936652194,5
-28.00532338447323,153.43143097658495,1
-27.88567256485634,153.39429675383306,2
-27.910235871398335,153.38834502165614,2
-28.16731157386845,153.53074983901982,5
-27.926422626913894,153.30190986463285,9
-28.029632527884626,153.43473554555436,10
-27.949870927478056,153.30164469668628,6
-28.041918501914697,153.4371322674459,4
-28.121049792593094,153.47245197081122,5
-28.16813404647104,153.53644272563326,2
-27.969391525508296,153.4148257531152,2
-27.962279068650876,153.41378230976835,1
-28.11999256399933,153.47188029083236,2
-27.950238684911422,153.3538217132602,0
-27.95525163442124,153.35446987977366,0
-27.955239741638998,153.35446087120087,0
-28.00100205059146,153.4060683157501,0
-27.92211866873943,153.3874878376793,0
-27.922130279633866,153.38750003119415,0
-28.022227591169642,153.41162688834086,0
-28.02224655781079,153.41165380279702,0
-27.920465245219315,153.31655416891414,0
-27.920462847528334,153.31653689792412,0
-27.84773122238488,153.34158559595693,0
-27.847724127785845,153.34160709587215,0
-28.021650797091063,153.42292024957914,0
-28.021652289864527,153.42293384484023,0
-27.917505369475837,153.28560550935717,0
-27.917494071632927,153.2856121007425,0
-27.9174821417085,153.28561877278437,0
-27.959321825325333,153.40317936916756,1
-28.099838005726987,153.46249165880621,0
-28.076683061445376,153.38174181162475,4
-28.07666291109551,153.3817522305333,4
-28.13747936398561,153.4728244726205,0
-27.967278139826142,153.41849550708733,1
-28.07668757337028,153.38170993576003,4
-28.076672479538633,153.3817198697733,4
-28.076655663885386,153.38172895803658,4
-27.991487210780587,153.33563764821267,1
-27.96569407970106,153.41725363192836,1
-27.969837035735868,153.41913913251818,1
-27.985745835379305,153.33486233934994,8
-28.16687055919674,153.53717696555265,2
-27.96226357680399,153.4137706817452,1
-27.962270780093693,153.41377682868693,1
-27.985778161155896,153.3349108394199,8
-28.02152248501431,153.43376962279604,5
-27.969832111440656,153.41912578271308,1
-27.9698170200699,153.4191043449293,1
-27.96982573233795,153.4191158649619,1
-27.962255917371596,153.41376612520446,1
-28.166890023508437,153.53717404971198,2
-28.077747959729514,153.34892053818254,0
-27.96997707909412,153.39412355769775,0
-28.07775301696468,153.34890197389925,0
-28.166862321212008,153.53717836574367,2
-27.96997173916185,153.39411264364838,0
-27.96996639923161,153.39410172858334,0
-27.970853417991908,153.40789617310395,0
-27.97085898031821,153.40788650925984,0
-28.166854000904504,153.53718004156653,2
-27.970864550395973,153.4078772755389,0
-28.16687953669402,153.53717574119966,2
-27.970869351891167,153.40786847003847,0
-27.970674531299203,153.40874606412066,0
-27.96728427748643,153.4184957829183,1
-27.969198898346033,153.4186780604041,5
-27.96726704414163,153.41849294988424,1
-27.957831343342185,153.41039557662486,0
-27.965706887380364,153.41725426784168,1
-27.965700660967283,153.41725348948307,1
-27.967272003946945,153.41849464562173,1
-27.965689657946957,153.41725311164214,1
-28.02547544915331,153.38427280881888,0
-28.02546067569509,153.38428106759153,0
-27.9706662380031,153.40876338508306,0
-27.97065651419202,153.40877908601848,0
-27.970575181978894,153.40890266379174,0
-27.970562583366593,153.40892279308142,0
-27.9578507031217,153.41038165055775,0
-27.970550340407588,153.4089417127342,0
-27.9729146058749,153.41581621830125,0
-27.972933221538657,153.4158216695261,0
-27.972955173972682,153.4158282103304,0
-27.91020557829401,153.38833452275037,2
-28.0019860480593,153.41619063940658,2
-28.079686674728464,153.43308797372765,5
-28.067085422606976,153.42525565818727,4
-28.01022623829931,153.43216518246112,4
-28.128097467307022,153.47803451628877,10
-27.960969959752084,153.38103921364464,0
-28.034221024989783,153.4358583187317,2
-28.002589922256128,153.41786248155407,1
-27.878826420667938,153.31433045527737,0
-27.96253490419493,153.3904429992399,0
-28.00283855302065,153.4160809479473,20
-27.96096426028292,153.38102735741478,0
-27.962525681291517,153.3904483321714,0
-27.924031711829212,153.31511429645116,0
-28.030896937933225,153.39539850989604,0
-27.995881780678914,153.3286401231875,0
-28.137201867836286,153.47451407937305,0
-27.877833294761402,153.31431317958715,0
-27.95755621213999,153.35379267092588,0
-28.003190964305634,153.34936518089233,0
-28.048572126302677,153.40610968841594,0
-28.16597062914009,153.5353642260787,0
-28.09913952279309,153.40766252120468,0
-27.969980269411195,153.39413486860943,0
-28.09940479290637,153.46246428371262,0
-28.13749118197402,153.47280042453858,0
-28.000778421183735,153.3493212530865,0
-28.087372151295963,153.3688898322157,0
-28.00100283132333,153.40607905370376,0
-28.167495305377642,153.54151912714386,5
-27.978061049408854,153.42943479942102,2
-28.047256167848044,153.4268195646433,1
-27.960958560809907,153.3810155022028,0
-27.970350918849203,153.39406519420288,0
-27.970342663219753,153.39407000606235,0
-27.97033297090006,153.39407844561708,0
-27.97032363526498,153.39408527082034,0
